direct_visual,annotation_index,cue,associations,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,score,num_associations
0,12,confer,"[""court"", ""employee""]",3K2755HG5TP39BR8HZH2IX3WPCYDFN,A1HKYY6XI2OHO1,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 05:46:47+03:00,random_10_12_candidates_1693,"[""court.jpg"", ""employee.jpg""]","[""court.jpg"", ""contract.jpg""]",67,100,confer,resolution,"[""stand"", ""falcon"", ""court"", ""smile"", ""employee"", ""stream"", ""contract"", ""stone"", ""clockwise"", ""razor"", ""quiz"", ""soak""]",67,2
0,13,resolution,"[""court"", ""contract""]",3K2755HG5TP39BR8HZH2IX3WPCYDFN,A1HKYY6XI2OHO1,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 05:46:47+03:00,random_10_12_candidates_1693,"[""court.jpg"", ""employee.jpg""]","[""court.jpg"", ""contract.jpg""]",67,100,confer,resolution,"[""stand"", ""falcon"", ""court"", ""smile"", ""employee"", ""stream"", ""contract"", ""stone"", ""clockwise"", ""razor"", ""quiz"", ""soak""]",100,2
0,14,lawsuit,"[""court"", ""contract""]",3OLF68YTNAN5B4OWXPQ0SWVQ5BOFAF,A382S0KJMW3K9S,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 15:11:44+03:00,random_10_12_candidates_1693,"[""court.jpg"", ""contract.jpg""]","[""court.jpg"", ""employee.jpg""]",100,67,lawsuit,group,"[""stand"", ""falcon"", ""court"", ""smile"", ""employee"", ""stream"", ""contract"", ""stone"", ""clockwise"", ""razor"", ""quiz"", ""soak""]",100,2
1,15,group,"[""court"", ""employee""]",3OLF68YTNAN5B4OWXPQ0SWVQ5BOFAF,A382S0KJMW3K9S,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 15:11:44+03:00,random_10_12_candidates_1693,"[""court.jpg"", ""contract.jpg""]","[""court.jpg"", ""employee.jpg""]",100,67,lawsuit,group,"[""stand"", ""falcon"", ""court"", ""smile"", ""employee"", ""stream"", ""contract"", ""stone"", ""clockwise"", ""razor"", ""quiz"", ""soak""]",67,2
0,16,Law,"[""court"", ""contract""]",3VHHR074H439SU0UCXHEDIYK10EL7B,A2QX3YJXAAHHVV,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 18:48:16+03:00,random_10_12_candidates_1693,"[""court.jpg"", ""contract.jpg""]","[""smile.jpg"", ""employee.jpg"", ""quiz.jpg""]",67,50,Law,emotion,"[""stand"", ""falcon"", ""court"", ""smile"", ""employee"", ""stream"", ""contract"", ""stone"", ""clockwise"", ""razor"", ""quiz"", ""soak""]",67,2
1,17,emotion,"[""smile"", ""employee"", ""quiz""]",3VHHR074H439SU0UCXHEDIYK10EL7B,A2QX3YJXAAHHVV,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 18:48:16+03:00,random_10_12_candidates_1693,"[""court.jpg"", ""contract.jpg""]","[""smile.jpg"", ""employee.jpg"", ""quiz.jpg""]",67,50,Law,emotion,"[""stand"", ""falcon"", ""court"", ""smile"", ""employee"", ""stream"", ""contract"", ""stone"", ""clockwise"", ""razor"", ""quiz"", ""soak""]",50,3
0,18,throttled,"[""strangle"", ""nun""]",3JNQLM5FT5826T3O6L0JHRHCPH22LF,A2QX3YJXAAHHVV,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 00:12:06+03:00,random_10_12_candidates_1109,"[""strangle.jpg"", ""nun.jpg""]","[""choir.jpg"", ""kneel.jpg""]",100,100,throttled,practice,"[""perfume"", ""ipad"", ""strangle"", ""nun"", ""marker"", ""calf"", ""crow"", ""choir"", ""target"", ""kneel"", ""hot tub"", ""bomb""]",100,2
0,19,practice,"[""choir"", ""kneel""]",3JNQLM5FT5826T3O6L0JHRHCPH22LF,A2QX3YJXAAHHVV,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 00:12:06+03:00,random_10_12_candidates_1109,"[""strangle.jpg"", ""nun.jpg""]","[""choir.jpg"", ""kneel.jpg""]",100,100,throttled,practice,"[""perfume"", ""ipad"", ""strangle"", ""nun"", ""marker"", ""calf"", ""crow"", ""choir"", ""target"", ""kneel"", ""hot tub"", ""bomb""]",100,2
0,20,pray,"[""choir"", ""kneel""]",3ERET4BTVNV2M7656U3XCECB7OB9KI,A1HKYY6XI2OHO1,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 07:19:59+03:00,random_10_12_candidates_1109,"[""choir.jpg"", ""kneel.jpg""]","[""target.jpg"", ""bomb.jpg""]",100,100,pray,gotcha,"[""perfume"", ""ipad"", ""strangle"", ""nun"", ""marker"", ""calf"", ""crow"", ""choir"", ""target"", ""kneel"", ""hot tub"", ""bomb""]",100,2
0,21,gotcha,"[""target"", ""bomb""]",3ERET4BTVNV2M7656U3XCECB7OB9KI,A1HKYY6XI2OHO1,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 07:19:59+03:00,random_10_12_candidates_1109,"[""choir.jpg"", ""kneel.jpg""]","[""target.jpg"", ""bomb.jpg""]",100,100,pray,gotcha,"[""perfume"", ""ipad"", ""strangle"", ""nun"", ""marker"", ""calf"", ""crow"", ""choir"", ""target"", ""kneel"", ""hot tub"", ""bomb""]",100,2
0,22,male,"[""choir"", ""kneel""]",3MD9PLUKKJ0I049L75PCHUV8GN5NZJ,A382S0KJMW3K9S,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 13:17:01+03:00,random_10_12_candidates_1109,"[""choir.jpg"", ""kneel.jpg""]","[""calf.jpg"", ""kneel.jpg"", ""hot tub.jpg""]",100,80,male,grass,"[""perfume"", ""ipad"", ""strangle"", ""nun"", ""marker"", ""calf"", ""crow"", ""choir"", ""target"", ""kneel"", ""hot tub"", ""bomb""]",100,2
0,23,grass,"[""calf"", ""kneel"", ""hot tub""]",3MD9PLUKKJ0I049L75PCHUV8GN5NZJ,A382S0KJMW3K9S,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 13:17:01+03:00,random_10_12_candidates_1109,"[""choir.jpg"", ""kneel.jpg""]","[""calf.jpg"", ""kneel.jpg"", ""hot tub.jpg""]",100,80,male,grass,"[""perfume"", ""ipad"", ""strangle"", ""nun"", ""marker"", ""calf"", ""crow"", ""choir"", ""target"", ""kneel"", ""hot tub"", ""bomb""]",80,3
0,24,squished,"[""diarrhea"", ""air force""]",3L2IS5HSFB41E5FB1IQ402GTE4OUNX,A1HKYY6XI2OHO1,32LAQ1JNT9BXNYM18C7EKHQTI3DUTO,Submitted,2022-05-25 07:06:46+03:00,random_10_12_candidates_235,"[""diarrhea.jpg"", ""air force.jpg""]","[""diarrhea.jpg"", ""porridge.jpg""]",100,100,squished,runny,"[""diarrhea"", ""pirate"", ""slide"", ""juice"", ""dot"", ""porridge"", ""quarter"", ""stage"", ""air force"", ""bike""]",100,2
0,25,runny,"[""diarrhea"", ""porridge""]",3L2IS5HSFB41E5FB1IQ402GTE4OUNX,A1HKYY6XI2OHO1,32LAQ1JNT9BXNYM18C7EKHQTI3DUTO,Submitted,2022-05-25 07:06:46+03:00,random_10_12_candidates_235,"[""diarrhea.jpg"", ""air force.jpg""]","[""diarrhea.jpg"", ""porridge.jpg""]",100,100,squished,runny,"[""diarrhea"", ""pirate"", ""slide"", ""juice"", ""dot"", ""porridge"", ""quarter"", ""stage"", ""air force"", ""bike""]",100,2
0,26,diarrhea,"[""diarrhea"", ""porridge""]",30BXRYBRP5JMWDI5TKASD64UD91HWN,A382S0KJMW3K9S,32LAQ1JNT9BXNYM18C7EKHQTI3DUTO,Submitted,2022-05-25 14:38:31+03:00,random_10_12_candidates_235,"[""diarrhea.jpg"", ""porridge.jpg""]","[""juice.jpg"", ""porridge.jpg""]",67,0,diarrhea,breakfast,"[""diarrhea"", ""pirate"", ""slide"", ""juice"", ""dot"", ""porridge"", ""quarter"", ""stage"", ""air force"", ""bike""]",67,2
1,27,breakfast,"[""juice"", ""porridge""]",30BXRYBRP5JMWDI5TKASD64UD91HWN,A382S0KJMW3K9S,32LAQ1JNT9BXNYM18C7EKHQTI3DUTO,Submitted,2022-05-25 14:38:31+03:00,random_10_12_candidates_235,"[""diarrhea.jpg"", ""porridge.jpg""]","[""juice.jpg"", ""porridge.jpg""]",67,0,diarrhea,breakfast,"[""diarrhea"", ""pirate"", ""slide"", ""juice"", ""dot"", ""porridge"", ""quarter"", ""stage"", ""air force"", ""bike""]",0,2
0,28,lumpy,"[""diarrhea"", ""porridge""]",3Z4GS9HPNWWAD9BS83G4UDGJ6LI777,A3RTW9UWYKSNWX,32LAQ1JNT9BXNYM18C7EKHQTI3DUTO,Submitted,2022-05-26 11:27:17+03:00,random_10_12_candidates_235,"[""diarrhea.jpg"", ""porridge.jpg""]","[""air force.jpg"", ""bike.jpg""]",100,67,lumpy,pedal,"[""diarrhea"", ""pirate"", ""slide"", ""juice"", ""dot"", ""porridge"", ""quarter"", ""stage"", ""air force"", ""bike""]",100,2
1,29,pedal,"[""air force"", ""bike""]",3Z4GS9HPNWWAD9BS83G4UDGJ6LI777,A3RTW9UWYKSNWX,32LAQ1JNT9BXNYM18C7EKHQTI3DUTO,Submitted,2022-05-26 11:27:17+03:00,random_10_12_candidates_235,"[""diarrhea.jpg"", ""porridge.jpg""]","[""air force.jpg"", ""bike.jpg""]",100,67,lumpy,pedal,"[""diarrhea"", ""pirate"", ""slide"", ""juice"", ""dot"", ""porridge"", ""quarter"", ""stage"", ""air force"", ""bike""]",67,2
0,30,water,"[""shower"", ""country"", ""hot tub""]",3ZSY5X72NYXRGYN6Y3VCAGTEWESOR2,A382S0KJMW3K9S,3NOEP8XAU4ORCANPW09HZEO0NI9PX6,Submitted,2022-05-25 00:46:52+03:00,random_10_12_candidates_724,"[""shower.jpg"", ""country.jpg"", ""hot tub.jpg""]","[""arms.jpg"", ""prison.jpg"", ""armor.jpg""]",80,50,water,arm,"[""bacteria"", ""arms"", ""shower"", ""wax"", ""country"", ""bouquet"", ""stairs"", ""prison"", ""armor"", ""bench"", ""hot tub"", ""chowder""]",80,3
1,31,arm,"[""arms"", ""prison"", ""armor""]",3ZSY5X72NYXRGYN6Y3VCAGTEWESOR2,A382S0KJMW3K9S,3NOEP8XAU4ORCANPW09HZEO0NI9PX6,Submitted,2022-05-25 00:46:52+03:00,random_10_12_candidates_724,"[""shower.jpg"", ""country.jpg"", ""hot tub.jpg""]","[""arms.jpg"", ""prison.jpg"", ""armor.jpg""]",80,50,water,arm,"[""bacteria"", ""arms"", ""shower"", ""wax"", ""country"", ""bouquet"", ""stairs"", ""prison"", ""armor"", ""bench"", ""hot tub"", ""chowder""]",50,3
1,32,home,"[""shower"", ""stairs"", ""hot tub""]",3Y5140Z9DY2W8ZWONGEILOXDJNFPIQ,A16184N1RO5OJV,3NOEP8XAU4ORCANPW09HZEO0NI9PX6,Submitted,2022-05-25 02:26:37+03:00,random_10_12_candidates_724,"[""shower.jpg"", ""stairs.jpg"", ""hot tub.jpg""]","[""bench.jpg"", ""hot tub.jpg""]",0,0,home,outdoor,"[""bacteria"", ""arms"", ""shower"", ""wax"", ""country"", ""bouquet"", ""stairs"", ""prison"", ""armor"", ""bench"", ""hot tub"", ""chowder""]",0,3
1,33,outdoor,"[""bench"", ""hot tub""]",3Y5140Z9DY2W8ZWONGEILOXDJNFPIQ,A16184N1RO5OJV,3NOEP8XAU4ORCANPW09HZEO0NI9PX6,Submitted,2022-05-25 02:26:37+03:00,random_10_12_candidates_724,"[""shower.jpg"", ""stairs.jpg"", ""hot tub.jpg""]","[""bench.jpg"", ""hot tub.jpg""]",0,0,home,outdoor,"[""bacteria"", ""arms"", ""shower"", ""wax"", ""country"", ""bouquet"", ""stairs"", ""prison"", ""armor"", ""bench"", ""hot tub"", ""chowder""]",0,2
1,34,chivalry,"[""country"", ""armor""]",3Y9N9SS8LZX8TZBFX4G0HOEZMMOD39,A1HKYY6XI2OHO1,3NOEP8XAU4ORCANPW09HZEO0NI9PX6,Submitted,2022-05-25 04:47:08+03:00,random_10_12_candidates_724,"[""country.jpg"", ""armor.jpg""]","[""stairs.jpg"", ""bench.jpg""]",67,67,chivalry,stained,"[""bacteria"", ""arms"", ""shower"", ""wax"", ""country"", ""bouquet"", ""stairs"", ""prison"", ""armor"", ""bench"", ""hot tub"", ""chowder""]",67,2
0,35,stained,"[""stairs"", ""bench""]",3Y9N9SS8LZX8TZBFX4G0HOEZMMOD39,A1HKYY6XI2OHO1,3NOEP8XAU4ORCANPW09HZEO0NI9PX6,Submitted,2022-05-25 04:47:08+03:00,random_10_12_candidates_724,"[""country.jpg"", ""armor.jpg""]","[""stairs.jpg"", ""bench.jpg""]",67,67,chivalry,stained,"[""bacteria"", ""arms"", ""shower"", ""wax"", ""country"", ""bouquet"", ""stairs"", ""prison"", ""armor"", ""bench"", ""hot tub"", ""chowder""]",67,2
1,36,water,"[""gondola"", ""tsunami""]",3PPTZCWALR6331MDNXHTLOQDKW4ZQP,A382S0KJMW3K9S,3IH9TRB0FBLR5NFSCCYQV8JNWPZI1V,Submitted,2022-05-25 02:50:58+03:00,random_10_12_candidates_14,"[""gondola.jpg"", ""tsunami.jpg""]","[""gondola.jpg"", ""tsunami.jpg""]",67,67,water,ocean,"[""lava"", ""ipad"", ""porridge"", ""gondola"", ""microscope"", ""climb"", ""artery"", ""couch"", ""tsunami"", ""feed"", ""ski"", ""stroke""]",67,2
1,37,ocean,"[""gondola"", ""tsunami""]",3PPTZCWALR6331MDNXHTLOQDKW4ZQP,A382S0KJMW3K9S,3IH9TRB0FBLR5NFSCCYQV8JNWPZI1V,Submitted,2022-05-25 02:50:58+03:00,random_10_12_candidates_14,"[""gondola.jpg"", ""tsunami.jpg""]","[""gondola.jpg"", ""tsunami.jpg""]",67,67,water,ocean,"[""lava"", ""ipad"", ""porridge"", ""gondola"", ""microscope"", ""climb"", ""artery"", ""couch"", ""tsunami"", ""feed"", ""ski"", ""stroke""]",67,2
0,38,steer,"[""gondola"", ""ski""]",33TIN5LC05WX6CVMA94OLMRM4269YW,A1HKYY6XI2OHO1,3IH9TRB0FBLR5NFSCCYQV8JNWPZI1V,Submitted,2022-05-25 05:15:22+03:00,random_10_12_candidates_14,"[""gondola.jpg"", ""ski.jpg""]","[""tsunami.jpg"", ""ski.jpg""]",100,67,steer,bank,"[""lava"", ""ipad"", ""porridge"", ""gondola"", ""microscope"", ""climb"", ""artery"", ""couch"", ""tsunami"", ""feed"", ""ski"", ""stroke""]",100,2
0,39,bank,"[""tsunami"", ""ski""]",33TIN5LC05WX6CVMA94OLMRM4269YW,A1HKYY6XI2OHO1,3IH9TRB0FBLR5NFSCCYQV8JNWPZI1V,Submitted,2022-05-25 05:15:22+03:00,random_10_12_candidates_14,"[""gondola.jpg"", ""ski.jpg""]","[""tsunami.jpg"", ""ski.jpg""]",100,67,steer,bank,"[""lava"", ""ipad"", ""porridge"", ""gondola"", ""microscope"", ""climb"", ""artery"", ""couch"", ""tsunami"", ""feed"", ""ski"", ""stroke""]",67,2
0,40,hold,"[""climb"", ""artery""]",3BGYGHDBBY6W57HGWFIE2VI3KN122T,A3RTW9UWYKSNWX,3IH9TRB0FBLR5NFSCCYQV8JNWPZI1V,Submitted,2022-05-26 05:49:43+03:00,random_10_12_candidates_14,"[""climb.jpg"", ""artery.jpg""]","[""gondola.jpg"", ""couch.jpg""]",67,100,hold,relax,"[""lava"", ""ipad"", ""porridge"", ""gondola"", ""microscope"", ""climb"", ""artery"", ""couch"", ""tsunami"", ""feed"", ""ski"", ""stroke""]",67,2
0,41,relax,"[""gondola"", ""couch""]",3BGYGHDBBY6W57HGWFIE2VI3KN122T,A3RTW9UWYKSNWX,3IH9TRB0FBLR5NFSCCYQV8JNWPZI1V,Submitted,2022-05-26 05:49:43+03:00,random_10_12_candidates_14,"[""climb.jpg"", ""artery.jpg""]","[""gondola.jpg"", ""couch.jpg""]",67,100,hold,relax,"[""lava"", ""ipad"", ""porridge"", ""gondola"", ""microscope"", ""climb"", ""artery"", ""couch"", ""tsunami"", ""feed"", ""ski"", ""stroke""]",100,2
1,42,animal,"[""duck"", ""calf""]",34YB12FSQZACR5TG5CMNJ8Q2Z59GMQ,A382S0KJMW3K9S,3B9J25CZ25Z0M4SMXLHOG6819KSCS7,Submitted,2022-05-25 01:50:28+03:00,random_10_12_candidates_1651,"[""duck.jpg"", ""calf.jpg""]","[""duck.jpg"", ""calf.jpg""]",67,67,animal,creature,"[""eucalyptus"", ""microscope"", ""duck"", ""clothing"", ""calf"", ""trash"", ""campfire"", ""tusk"", ""running"", ""seed""]",67,2
0,43,creature,"[""duck"", ""calf""]",34YB12FSQZACR5TG5CMNJ8Q2Z59GMQ,A382S0KJMW3K9S,3B9J25CZ25Z0M4SMXLHOG6819KSCS7,Submitted,2022-05-25 01:50:28+03:00,random_10_12_candidates_1651,"[""duck.jpg"", ""calf.jpg""]","[""duck.jpg"", ""calf.jpg""]",67,67,animal,creature,"[""eucalyptus"", ""microscope"", ""duck"", ""clothing"", ""calf"", ""trash"", ""campfire"", ""tusk"", ""running"", ""seed""]",67,2
0,44,science,"[""microscope"", ""seed""]",3HYA4D452S5G61TSKAXLMECSSLUF21,A16184N1RO5OJV,3B9J25CZ25Z0M4SMXLHOG6819KSCS7,Submitted,2022-05-25 02:12:22+03:00,random_10_12_candidates_1651,"[""microscope.jpg"", ""seed.jpg""]","[""clothing.jpg"", ""running.jpg""]",67,67,science,shorts,"[""eucalyptus"", ""microscope"", ""duck"", ""clothing"", ""calf"", ""trash"", ""campfire"", ""tusk"", ""running"", ""seed""]",67,2
1,45,shorts,"[""clothing"", ""running""]",3HYA4D452S5G61TSKAXLMECSSLUF21,A16184N1RO5OJV,3B9J25CZ25Z0M4SMXLHOG6819KSCS7,Submitted,2022-05-25 02:12:22+03:00,random_10_12_candidates_1651,"[""microscope.jpg"", ""seed.jpg""]","[""clothing.jpg"", ""running.jpg""]",67,67,science,shorts,"[""eucalyptus"", ""microscope"", ""duck"", ""clothing"", ""calf"", ""trash"", ""campfire"", ""tusk"", ""running"", ""seed""]",67,2
0,46,awkward,"[""calf"", ""tusk""]",337RC3OW06OB3K1QUVKUJWENMFNLVY,A1HKYY6XI2OHO1,3B9J25CZ25Z0M4SMXLHOG6819KSCS7,Submitted,2022-05-25 05:41:36+03:00,random_10_12_candidates_1651,"[""calf.jpg"", ""tusk.jpg""]","[""microscope.jpg"", ""seed.jpg""]",67,67,awkward,science,"[""eucalyptus"", ""microscope"", ""duck"", ""clothing"", ""calf"", ""trash"", ""campfire"", ""tusk"", ""running"", ""seed""]",67,2
0,47,science,"[""microscope"", ""seed""]",337RC3OW06OB3K1QUVKUJWENMFNLVY,A1HKYY6XI2OHO1,3B9J25CZ25Z0M4SMXLHOG6819KSCS7,Submitted,2022-05-25 05:41:36+03:00,random_10_12_candidates_1651,"[""calf.jpg"", ""tusk.jpg""]","[""microscope.jpg"", ""seed.jpg""]",67,67,awkward,science,"[""eucalyptus"", ""microscope"", ""duck"", ""clothing"", ""calf"", ""trash"", ""campfire"", ""tusk"", ""running"", ""seed""]",67,2
0,48,South,"[""biscuit"", ""seafood""]",3VHP9MDGRO6T4JLUH3MRYRLE4CVCFV,A2QX3YJXAAHHVV,36QZ6V1589ZW8Y9MJC2OACU7GKZUSZ,Submitted,2022-05-25 00:17:22+03:00,random_10_12_candidates_1677,"[""biscuit.jpg"", ""seafood.jpg""]","[""biscuit.jpg"", ""laboratory.jpg"", ""seafood.jpg""]",100,50,South,Mama,"[""itunes"", ""sweater"", ""mop"", ""biscuit"", ""poker"", ""sphinx"", ""witness"", ""laboratory"", ""seafood"", ""dad""]",100,2
0,49,Mama,"[""biscuit"", ""laboratory"", ""seafood""]",3VHP9MDGRO6T4JLUH3MRYRLE4CVCFV,A2QX3YJXAAHHVV,36QZ6V1589ZW8Y9MJC2OACU7GKZUSZ,Submitted,2022-05-25 00:17:22+03:00,random_10_12_candidates_1677,"[""biscuit.jpg"", ""seafood.jpg""]","[""biscuit.jpg"", ""laboratory.jpg"", ""seafood.jpg""]",100,50,South,Mama,"[""itunes"", ""sweater"", ""mop"", ""biscuit"", ""poker"", ""sphinx"", ""witness"", ""laboratory"", ""seafood"", ""dad""]",50,3
1,50,human,"[""witness"", ""laboratory"", ""dad""]",358010RM5FF63EIF8ENIUQ9ATONXVM,A382S0KJMW3K9S,36QZ6V1589ZW8Y9MJC2OACU7GKZUSZ,Submitted,2022-05-25 03:10:19+03:00,random_10_12_candidates_1677,"[""witness.jpg"", ""laboratory.jpg"", ""dad.jpg""]","[""witness.jpg"", ""laboratory.jpg"", ""dad.jpg""]",50,80,human,male,"[""itunes"", ""sweater"", ""mop"", ""biscuit"", ""poker"", ""sphinx"", ""witness"", ""laboratory"", ""seafood"", ""dad""]",50,3
