ID,R1_association,R1_edge_weight,R1_concreteness,R2_association,R2_edge_weight,R2_concreteness,R3_association,R3_edge_weight,R3_concreteness,R4_association,R4_edge_weight,R4_concreteness,cue,cue_weight,associations,num_distractors,num_associations,associations_mean_weight,distractors,labels,candidates,candidates_connectivity_score,candidates_connectivity_data,alternative_associations_candidates,cue_associations_str,cue_associations_lst,candidates_connectivity_score_weight,origin_candidates_number,solvers_mean_jaccard
497,explosion,36,4.52,bomb,19.0,4.84,,,,,,,boom,88,"[""explosion"", ""bomb""]",3,2,27.5,"[""board"", ""dancer"", ""map""]","[3, 2]","[""dancer"", ""map"", ""bomb"", ""explosion"", ""board""]",1,"[{'alternative_cue': 'grenade', 'alternative_cue_novel_associations': ['explosion', 'bomb'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blow up', 'alternative_cue_novel_associations': ['explosion', 'bomb'], 'num_alternative_cue_novel_associations': 2}]","[['explosion', 'bomb']]","['bomb', 'boom', 'explosion']","['boom', 'explosion', 'bomb']",4,5,1.0
499,stomach,31,4.89,muscle,16.0,4.5,,,,,,,abs,75,"[""stomach"", ""muscle""]",3,2,23.5,"[""footprint"", ""crow"", ""chess""]","[1, 2]","[""crow"", ""stomach"", ""muscle"", ""chess"", ""footprint""]",2,"[{'alternative_cue': 'cramp', 'alternative_cue_novel_associations': ['muscle', 'stomach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rook', 'alternative_cue_novel_associations': ['crow', 'chess'], 'num_alternative_cue_novel_associations': 2}]","[['crow', 'chess'], ['muscle', 'stomach']]","['abs', 'muscle', 'stomach']","['abs', 'stomach', 'muscle']",9,5,1.0
503,country,23,4.17,home,15.0,4.11,,,,,,,homeland,81,"[""country"", ""home""]",3,2,19.0,"[""wheelchair"", ""koala"", ""stove""]","[4, 1]","[""stove"", ""home"", ""wheelchair"", ""koala"", ""country""]",2,"[{'alternative_cue': 'america', 'alternative_cue_novel_associations': ['country', 'home'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'range', 'alternative_cue_novel_associations': ['stove', 'home'], 'num_alternative_cue_novel_associations': 2}]","[['country', 'home'], ['stove', 'home']]","['country', 'home', 'homeland']","['homeland', 'country', 'home']",9,5,1.0
504,book,37,4.9,novel,18.0,4.21,,,,,,,fiction,84,"[""book"", ""novel""]",3,2,27.5,"[""pentagon"", ""mayonnaise"", ""cologne""]","[4, 1]","[""cologne"", ""novel"", ""pentagon"", ""mayonnaise"", ""book""]",1,"[{'alternative_cue': 'mystery', 'alternative_cue_novel_associations': ['novel', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fictional', 'alternative_cue_novel_associations': ['novel', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'writer', 'alternative_cue_novel_associations': ['novel', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'author', 'alternative_cue_novel_associations': ['novel', 'book'], 'num_alternative_cue_novel_associations': 2}]","[['novel', 'book']]","['book', 'fiction', 'novel']","['fiction', 'book', 'novel']",4,5,1.0
509,food,41,4.8,cake,12.0,4.81,,,,,,,delicious,106,"[""food"", ""cake""]",3,2,26.5,"[""cavity"", ""hall"", ""ticket""]","[0, 3]","[""food"", ""ticket"", ""hall"", ""cake"", ""cavity""]",2,"[{'alternative_cue': 'pie', 'alternative_cue_novel_associations': ['food', 'cake'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'banquet', 'alternative_cue_novel_associations': ['hall', 'food'], 'num_alternative_cue_novel_associations': 2}]","[['food', 'cake'], ['hall', 'food']]","['cake', 'delicious', 'food']","['delicious', 'food', 'cake']",9,5,1.0
510,school,47,4.79,prison,17.0,4.68,,,,,,,detention,85,"[""school"", ""prison""]",3,2,32.0,"[""paddle"", ""rubber"", ""bowel""]","[3, 4]","[""paddle"", ""bowel"", ""rubber"", ""school"", ""prison""]",0,[],[],"['detention', 'prison', 'school']","['detention', 'school', 'prison']",1,5,1.0
511,woman,20,4.46,princess,15.0,4.72,,,,,,,damsel,107,"[""woman"", ""princess""]",3,2,17.5,"[""list"", ""jet"", ""bats""]","[4, 1]","[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",0,[],[],"['damsel', 'princess', 'woman']","['damsel', 'woman', 'princess']",1,5,1.0
512,ketchup,50,5.0,salt,18.0,4.89,,,,,,,condiment,108,"[""ketchup"", ""salt""]",3,2,34.0,"[""dungeon"", ""eggnog"", ""skate""]","[1, 3]","[""skate"", ""ketchup"", ""dungeon"", ""salt"", ""eggnog""]",1,"[{'alternative_cue': 'condiments', 'alternative_cue_novel_associations': ['ketchup', 'salt'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'french fries', 'alternative_cue_novel_associations': ['ketchup', 'salt'], 'num_alternative_cue_novel_associations': 2}]","[['ketchup', 'salt']]","['condiment', 'ketchup', 'salt']","['condiment', 'ketchup', 'salt']",4,5,1.0
513,rain,30,4.97,water,23.0,5.0,,,,,,,deluge,96,"[""rain"", ""water""]",3,2,26.5,"[""freeway"", ""button"", ""bong""]","[3, 0]","[""water"", ""freeway"", ""button"", ""rain"", ""bong""]",1,"[{'alternative_cue': 'typhoon', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pour', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sprinkle', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soak', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drop', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soaked', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shower', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'gutter', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'puddle', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'condensation', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'wet', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'muddy', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sprinkles', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drench', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drops', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mist', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dew', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'moisture', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'showers', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drip', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['rain', 'water']]","['deluge', 'rain', 'water']","['deluge', 'rain', 'water']",4,5,1.0
516,sleep,27,4.44,bed,13.0,5.0,,,,,,,awake,87,"[""sleep"", ""bed""]",3,2,20.0,"[""crab"", ""star"", ""sauna""]","[3, 2]","[""crab"", ""sauna"", ""bed"", ""sleep"", ""star""]",1,"[{'alternative_cue': 'dorm', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedroom', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'laying', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sleeping pill', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'slumber', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dreaming', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'laid', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tired', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nightgown', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedding', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedsheets', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lay', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hotel', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tiredness', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'motel', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blankets', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cot', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nap', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'duvet', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bunk', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mattress', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nighttime', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'resting', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pajamas', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rest', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dormitory', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pyjamas', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pillow', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedtime', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sheets', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lay down', 'alternative_cue_novel_associations': ['sleep', 'bed'], 'num_alternative_cue_novel_associations': 2}]","[['sleep', 'bed']]","['awake', 'bed', 'sleep']","['awake', 'sleep', 'bed']",4,5,1.0
517,food,12,4.8,nose,12.0,4.89,,,,,,,picky,57,"[""food"", ""nose""]",3,2,12.0,"[""clove"", ""soda"", ""parmesan""]","[2, 4]","[""soda"", ""parmesan"", ""food"", ""clove"", ""nose""]",4,"[{'alternative_cue': 'smells', 'alternative_cue_novel_associations': ['nose', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cans', 'alternative_cue_novel_associations': ['food', 'soda'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'garlic', 'alternative_cue_novel_associations': ['food', 'clove'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'diet', 'alternative_cue_novel_associations': ['food', 'soda'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'eggplant', 'alternative_cue_novel_associations': ['parmesan', 'food'], 'num_alternative_cue_novel_associations': 2}]","[['food', 'clove'], ['food', 'soda'], ['nose', 'food'], ['parmesan', 'food']]","['food', 'nose', 'picky']","['picky', 'food', 'nose']",25,5,0.7777777777777778
518,country,20,4.17,home,12.0,4.11,,,,,,,america,60,"[""country"", ""home""]",3,2,16.0,"[""scale"", ""seafood"", ""group""]","[1, 3]","[""group"", ""country"", ""seafood"", ""home"", ""scale""]",1,"[{'alternative_cue': 'homeland', 'alternative_cue_novel_associations': ['country', 'home'], 'num_alternative_cue_novel_associations': 2}]","[['country', 'home']]","['america', 'country', 'home']","['america', 'country', 'home']",4,5,0.7777777777777777
520,food,58,4.8,stomach,50.0,4.89,,,,,,,digestion,128,"[""food"", ""stomach""]",3,2,54.0,"[""neon"", ""moat"", ""honey""]","[0, 3]","[""food"", ""honey"", ""neon"", ""stomach"", ""moat""]",1,"[{'alternative_cue': 'digest', 'alternative_cue_novel_associations': ['food', 'stomach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'intestine', 'alternative_cue_novel_associations': ['food', 'stomach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'digestive', 'alternative_cue_novel_associations': ['food', 'stomach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'indigestion', 'alternative_cue_novel_associations': ['food', 'stomach'], 'num_alternative_cue_novel_associations': 2}]","[['food', 'stomach']]","['digestion', 'food', 'stomach']","['digestion', 'food', 'stomach']",4,5,0.5555555555555555
521,wave,20,4.55,water,13.0,5.0,,,,,,,surge,69,"[""wave"", ""water""]",3,2,16.5,"[""triangle"", ""cable"", ""ape""]","[4, 1]","[""triangle"", ""water"", ""cable"", ""ape"", ""wave""]",2,"[{'alternative_cue': 'surfing', 'alternative_cue_novel_associations': ['wave', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surf', 'alternative_cue_novel_associations': ['wave', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tsunami', 'alternative_cue_novel_associations': ['wave', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfer', 'alternative_cue_novel_associations': ['wave', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'delta', 'alternative_cue_novel_associations': ['triangle', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfboard', 'alternative_cue_novel_associations': ['wave', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['wave', 'water'], ['triangle', 'water']]","['surge', 'water', 'wave']","['surge', 'wave', 'water']",9,5,0.5555555555555555
523,green,42,4.07,earth,11.0,4.8,,,,,,,environmental,70,"[""green"", ""earth""]",3,2,26.5,"[""garlic"", ""ketchup"", ""spit""]","[0, 4]","[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",1,"[{'alternative_cue': 'ecosystem', 'alternative_cue_novel_associations': ['green', 'earth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ecology', 'alternative_cue_novel_associations': ['green', 'earth'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ecological', 'alternative_cue_novel_associations': ['green', 'earth'], 'num_alternative_cue_novel_associations': 2}]","[['green', 'earth']]","['earth', 'environmental', 'green']","['environmental', 'green', 'earth']",4,5,1.0
524,company,18,4.11,money,11.0,4.54,,,,,,,enterprise,78,"[""company"", ""money""]",3,2,14.5,"[""ham"", ""mow"", ""towel""]","[1, 2]","[""ham"", ""company"", ""money"", ""mow"", ""towel""]",1,"[{'alternative_cue': 'business', 'alternative_cue_novel_associations': ['company', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'corporate', 'alternative_cue_novel_associations': ['company', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'corporation', 'alternative_cue_novel_associations': ['company', 'money'], 'num_alternative_cue_novel_associations': 2}]","[['company', 'money']]","['company', 'enterprise', 'money']","['enterprise', 'company', 'money']",4,5,1.0
526,money,38,4.54,store,12.0,4.5,,,,,,,purchase,119,"[""money"", ""store""]",3,2,25.0,"[""fetus"", ""crater"", ""tar""]","[4, 2]","[""crater"", ""fetus"", ""store"", ""tar"", ""money""]",1,"[{'alternative_cue': 'customer', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shopper', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'clerk', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cash register', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'thrift', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sale', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bought', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cashier', 'alternative_cue_novel_associations': ['money', 'store'], 'num_alternative_cue_novel_associations': 2}]","[['money', 'store']]","['money', 'purchase', 'store']","['purchase', 'money', 'store']",4,5,1.0
527,pasta,30,4.86,food,18.0,4.8,,,,,,,noodle,72,"[""pasta"", ""food""]",3,2,24.0,"[""ligament"", ""timer"", ""treasure""]","[3, 2]","[""treasure"", ""ligament"", ""food"", ""pasta"", ""timer""]",1,"[{'alternative_cue': 'lasagna', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'noodles', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'carbohydrate', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pesto', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'italy', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'italian', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'meatball', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'macaroni', 'alternative_cue_novel_associations': ['pasta', 'food'], 'num_alternative_cue_novel_associations': 2}]","[['pasta', 'food']]","['food', 'noodle', 'pasta']","['noodle', 'pasta', 'food']",4,5,1.0
528,music,39,4.31,singer,11.0,4.62,,,,,,,rapper,77,"[""music"", ""singer""]",3,2,25.0,"[""centipede"", ""cactus"", ""tummy""]","[2, 0]","[""singer"", ""cactus"", ""music"", ""centipede"", ""tummy""]",1,"[{'alternative_cue': 'david bowie', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'microphone', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'michael jackson', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'opera', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'beyonce', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tenor', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'baritone', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'elvis', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soprano', 'alternative_cue_novel_associations': ['music', 'singer'], 'num_alternative_cue_novel_associations': 2}]","[['music', 'singer']]","['music', 'rapper', 'singer']","['rapper', 'music', 'singer']",4,5,0.5555555555555555
529,lens,14,4.64,sky,12.0,4.45,,,,,,,telescope,92,"[""lens"", ""sky""]",3,2,13.0,"[""dalmatian"", ""guard"", ""rope""]","[3, 0]","[""sky"", ""rope"", ""dalmatian"", ""lens"", ""guard""]",0,[],[],"['lens', 'sky', 'telescope']","['telescope', 'lens', 'sky']",1,5,1.0
532,beach,34,4.79,sand,13.0,5.0,,,,,,,flip flops,105,"[""beach"", ""sand""]",3,2,23.5,"[""lobster"", ""inch"", ""feed""]","[3, 2]","[""inch"", ""feed"", ""sand"", ""beach"", ""lobster""]",2,"[{'alternative_cue': 'islands', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dune', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shells', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shore', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pail', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'island', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seashell', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'footprints', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'crab', 'alternative_cue_novel_associations': ['lobster', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sandals', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seaside', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'volleyball', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'barefoot', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seashore', 'alternative_cue_novel_associations': ['sand', 'beach'], 'num_alternative_cue_novel_associations': 2}]","[['sand', 'beach'], ['lobster', 'beach']]","['beach', 'flip flops', 'sand']","['flip flops', 'beach', 'sand']",9,5,1.0
533,letter,15,4.7,morse code,11.0,4.08,,,,,,,telegram,64,"[""letter"", ""morse code""]",3,2,13.0,"[""server"", ""giant"", ""motel""]","[2, 4]","[""motel"", ""giant"", ""letter"", ""server"", ""morse code""]",0,[],[],"['letter', 'morse code', 'telegram']","['telegram', 'letter', 'morse code']",1,5,1.0
534,list,17,4.43,computer,10.0,4.93,,,,,,,compile,52,"[""list"", ""computer""]",3,2,13.5,"[""drag"", ""cream"", ""stock""]","[0, 1]","[""list"", ""computer"", ""drag"", ""stock"", ""cream""]",1,"[{'alternative_cue': 'inventory', 'alternative_cue_novel_associations': ['stock', 'list'], 'num_alternative_cue_novel_associations': 2}]","[['stock', 'list']]","['compile', 'computer', 'list']","['compile', 'list', 'computer']",4,5,1.0
535,gun,59,4.83,fire,11.0,4.68,,,,,,,shoot,95,"[""gun"", ""fire""]",3,2,35.0,"[""asphalt"", ""ballet"", ""wood""]","[0, 1]","[""gun"", ""fire"", ""wood"", ""ballet"", ""asphalt""]",3,"[{'alternative_cue': 'flare', 'alternative_cue_novel_associations': ['fire', 'gun'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sticks', 'alternative_cue_novel_associations': ['fire', 'wood'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'charred', 'alternative_cue_novel_associations': ['fire', 'wood'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'artillery', 'alternative_cue_novel_associations': ['fire', 'gun'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cannon', 'alternative_cue_novel_associations': ['fire', 'gun'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fireplace', 'alternative_cue_novel_associations': ['fire', 'wood'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'aim', 'alternative_cue_novel_associations': ['fire', 'gun'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'barrel', 'alternative_cue_novel_associations': ['wood', 'gun'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'log', 'alternative_cue_novel_associations': ['fire', 'wood'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'logs', 'alternative_cue_novel_associations': ['fire', 'wood'], 'num_alternative_cue_novel_associations': 2}]","[['fire', 'gun'], ['wood', 'gun'], ['fire', 'wood']]","['fire', 'gun', 'shoot']","['shoot', 'gun', 'fire']",16,5,0.7777777777777778
