,WorkerId,mean_jaccard,ages,gender,education,speaker
36,A21K7FBCJ54ILS,0.7833333333333333,25.0,male,Bachelor,Native
37,A21N0G15EZL8AE,0.7333333333333333,37.0,female,HighSchool,Native
38,A23HZ18KTCK2DA,0.5999999999999999,50.0,female,Bachelor,Native
39,A248LF7KKHXZ14,0.7666666666666666,48.0,female,Bachelor,Native
40,A24RCKH0Q3GMQY,0.6666666666666666,32.0,male,Bachelor,Native
41,A25FH7PXC446RG,0.57,55.0,female,Bachelor,Native
42,A27W025UEXS1G0,0.7,35.0,male,HighSchool,Native
43,A2880Y23V0UITQ,0.6916666666666667,45.0,female,Bachelor,Native
44,A2A6FH0F7LD9ND,0.6499999999999999,58.0,female,HighSchool,Native
45,A2APG8MSLJ6G2K,0.6499999999999999,69.0,female,Bachelor,Native
46,A2BPL7X16VJLBZ,0.7,25.0,male,HighSchool,Native
47,A2BRZKFG6WAVER,0.7,40.0,female,HighSchool,Native
48,A2C8CPT60DE5V8,0.6499999999999999,24.0,female,Bachelor,Native
49,A2EFCJF1JH7SBY,0.7,56.0,male,Bachelor,Native
50,A2FW2A0XGWD73O,0.4966666666666667,,,,
51,A2FZE7CARM54IG,0.7666666666666666,35.0,female,Bachelor,Native
52,A2GOYSTIL3LOV1,0.8166666666666667,47.0,female,Bachelor,Native
53,A2I4PRZ9IZMKON,0.6499999999999999,32.0,female,Master,Native
54,A2IJEKMVEHQ90W,0.7666666666666666,32.0,female,HighSchool,Native
55,A2JMIAOV67CPHI,0.7666666666666666,44.0,female,HighSchool,Native
56,A2K0L9M1ZZO5C9,0.6866666666666666,43.0,female,HighSchool,Native
57,A2K607J3Z68WRR,0.8333333333333334,40.0,male,HighSchool,Native
58,A2KLJKDG90K1PP,0.7,55.0,male,Master,Native
59,A2LIY5A4EZ4159,0.5516666666666666,46.0,female,Bachelor,NoneNative
60,A2LU259QPV1I4V,0.8833333333333334,33.0,male,Bachelor,Native
61,A2M9JNCHRKMCC4,0.8166666666666667,40.0,male,Master,Native
62,A2MV0W0ZK0T6O0,0.48666666666666664,49.0,female,Bachelor,Native
63,A2N93IVSZXSB73,0.6666666666666666,56.0,male,Bachelor,Native
64,A2N962G55T9MOB,0.5999999999999999,41.0,female,Bachelor,Native
65,A2N9U74YIPDQ9F,0.7666666666666666,55.0,female,Bachelor,Native
66,A2NSS746CFCT4M,0.7166666666666667,33.0,female,Bachelor,Native
67,A2O2Q0LVWOWJ1G,0.7,48.0,female,HighSchool,Native
68,A2PD9SHVWNX7Q2,0.6333333333333332,32.0,male,Bachelor,Native
69,A2PXJTMWGUE5DC,0.5999999999999999,63.0,female,Bachelor,Native
70,A2QL9MM4WO4BFO,0.25,66.0,female,Bachelor,Native
71,A2QX3YJXAAHHVV,0.8166666666666667,32.0,male,Master,Native
72,A2R28HXAEFKBPC,0.7166666666666666,28.0,female,Master,Native
73,A2RBF3IIJP15IH,0.8833333333333334,37.0,male,Bachelor,Native
74,A2RCYLKY072XXO,0.7,36.0,male,Bachelor,Native
75,A2SDOD67560IN8,0.95,44.0,male,Bachelor,Native
76,A2TZAXWOB3JMNV,0.7166666666666666,48.0,female,Bachelor,Native
77,A2U8QOJRKUCTWG,0.7166666666666666,39.0,female,HighSchool,Native
78,A2VE5IV9OD2SK1,0.6666666666666666,45.0,male,Bachelor,Native
79,A2VUF0V7HT51Q3,0.8166666666666667,38.0,female,Master,Native
80,A2VZBQLSFZC519,0.7166666666666667,24.0,female,HighSchool,Native
81,A2W3KKNN3CAY66,0.7666666666666667,39.0,female,HighSchool,Native
82,A2WX434EAQOE29,0.7666666666666666,47.0,male,Bachelor,Native
83,A2XD5QTL6H2LIY,0.7,37.0,male,Master,Native
84,A2YW35WSBU88O0,0.6166666666666666,31.0,female,Bachelor,Native
85,A2ZZW6KME1FUDU,0.7333333333333333,50.0,female,Bachelor,Native
86,A30BPQ2QGZOXN8,0.8166666666666667,38.0,female,Bachelor,Native
87,A310N8EXJNXVCA,0.65,33.0,male,HighSchool,Native
88,A31898LQJO7I3,0.6333333333333332,29.0,male,Bachelor,Native
89,A31PW970Z2PC5P,0.7,38.0,female,HighSchool,Native
90,A32AFV5GNN54WX,0.6499999999999999,66.0,female,Bachelor,Native
91,A33LYSCQQU1YDJ,0.675,47.0,female,Bachelor,Native
92,A340FMNO9WJG4J,0.8166666666666667,33.0,female,HighSchool,Native
93,A34DYM8J0X5VK,0.6699999999999999,45.0,female,HighSchool,Native
94,A35TUIBF05DKM4,0.8166666666666667,29.0,male,Bachelor,Native
95,A36P1ZQ0GYF567,0.9,32.0,female,Bachelor,NoneNative
96,A37AWU2VH1ZIXX,0.7499999999999999,48.0,female,Bachelor,Native
97,A37DTVGS7RX6AG,0.7,70.0,female,HighSchool,Native
98,A37O30WLLHE8QT,0.7166666666666666,66.0,female,Bachelor,Native
99,A39SK1E6IMQBD5,0.8083333333333332,33.0,male,HighSchool,Native
100,A3APMO8WXVH1V0,0.6666666666666666,30.0,female,Bachelor,Native
101,A3BCKNE5CWHODZ,0.7166666666666667,39.0,female,HighSchool,Native
102,A3BRY2LVVQGP3H,0.7,41.0,female,Bachelor,Native
103,A3EFQBP9TDGINR,0.7499999999999999,43.0,female,Bachelor,Native
104,A3FFZP48O4JG5R,0.6833333333333332,38.0,female,Bachelor,Native
105,A3FY6THWKRYN9M,0.7,40.0,female,HighSchool,Native
106,A3G1HG9Q8M4UI5,0.6499999999999999,45.0,female,Bachelor,NoneNative
107,A3GJPHFUCNBO8J,0.7666666666666666,67.0,male,Bachelor,Native
108,A3GMRPF5MCQVGV,0.7166666666666666,45.0,female,HighSchool,Native
109,A3HE29W5IDR394,0.8833333333333334,28.0,male,Bachelor,Native
110,A3I9XLIHPPWPN1,0.7499999999999999,58.0,female,Master,Native
111,A3JM1E5G4LTTCD,0.7166666666666666,36.0,female,Bachelor,Native
112,A3KOXHH84OKZ9G,0.8166666666666667,33.0,female,HighSchool,Native
113,A3L4JI1S352HB8,0.7,50.0,female,Bachelor,Native
114,A3LIE6Q2EGABU6,0.6166666666666666,64.0,male,HighSchool,Native
115,A3NG205QJ48IM4,0.7499999999999999,68.0,female,Bachelor,Native
116,A3PISZLVW5X0CU,0.7166666666666666,65.0,female,Bachelor,Native
117,A3PUUVUDORJS8W,0.6666666666666666,26.0,female,Master,Native
118,A3QAL3X23LHJRV,0.6833333333333332,46.0,male,Master,Native
119,A3RTW9UWYKSNWX,0.8833333333333334,26.0,male,Bachelor,Native
120,A3T3WRVSK1N2PR,0.7333333333333333,30.0,male,Bachelor,Native
121,A3UJSDFJ9LBQ6Z,0.8166666666666667,45.0,female,HighSchool,Native
122,A3UUH3632AI3ZX,0.7499999999999999,36.0,female,Bachelor,Native
123,A47HCWJL45SEQ,0.6166666666666666,35.0,female,Master,Native
124,A49A0FF6ZXYDU,0.5666666666666667,54.0,female,Bachelor,Native
125,A58L6J62P9QT,0.5999999999999999,42.0,female,HighSchool,Native
126,A5WWHKD82I8UE,0.8166666666666667,38.0,male,Bachelor,Native
127,A68UG55LKRKMS,0.7499999999999999,61.0,female,HighSchool,Native
128,A6KOTWP7N7RLU,0.7499999999999999,39.0,male,Bachelor,Native
129,A8289AEOKHKV4,0.7,49.0,female,Master,Native
130,A8E99XNOTT390,0.6666666666666666,46.0,female,Bachelor,Native
131,A9HQ3E0F2AGVO,0.7666666666666666,33.0,female,Bachelor,Native
132,A9I6LVY4CKEN0,0.6499999999999999,52.0,female,Bachelor,Native
133,AB7MYP65HZ2MH,0.8166666666666667,39.0,male,HighSchool,Native
134,AC95JAUAM2L2Z,0.7499999999999999,38.0,female,HighSchool,Native
135,ACMB4EM30MOWW,0.6366666666666666,56.0,female,Bachelor,Native
136,ADQHGQF65JJ08,0.6499999999999999,37.0,female,Master,Native
137,ADTYPTCW8QUQ8,0.57,59.0,male,Bachelor,Native
138,ADVCIFLB5A9B,0.6366666666666666,61.0,female,Bachelor,Native
139,AE1YA7Q3UKPRI,0.7666666666666666,38.0,female,Bachelor,Native
140,AEH8FSAH62DEZ,0.7499999999999999,32.0,male,Bachelor,Native
141,AF1WAWGK3NIHN,0.8166666666666667,57.0,female,Bachelor,Native
142,AFC9Q2YBBESIP,0.6666666666666666,50.0,female,Bachelor,Native
143,AFU00NU09CFXE,0.6499999999999999,48.0,female,HighSchool,Native
144,AGRKG3YT3KMD8,0.7666666666666666,36.0,male,Bachelor,Native
145,AHB3QFZSFN9DL,0.7833333333333333,61.0,female,Bachelor,Native
146,AHU9OLV0YKIIW,0.7916666666666667,40.0,female,Bachelor,Native
147,AJ4B5W7LPJEQO,0.6199999999999999,60.0,male,Bachelor,Native
148,AJTLLYV8O5FQU,0.6499999999999999,64.0,female,Bachelor,Native
149,AKQAI78JTXXC9,0.7499999999999999,39.0,male,Bachelor,Native
150,AMYURTQIMAC8T,0.6333333333333332,34.0,female,Master,Native
151,AONSG5WOC3OX0,0.7166666666666666,40.0,male,Bachelor,Native
152,APB33P7IQEEWK,0.6666666666666666,31.0,male,Bachelor,Native
153,APDDA1Y59RHV9,0.6833333333333333,58.0,female,Bachelor,Native
154,AQB0TQPOGOFQE,0.7166666666666666,41.0,female,Master,Native
155,AR0VJ5XRG16UJ,0.7333333333333333,52.0,female,Bachelor,Native
156,AROEBUDI2L9G9,0.7166666666666666,40.0,female,Bachelor,Native
157,ARW1TCHCLEK1W,0.5499999999999999,26.0,female,Bachelor,Native
158,ASN25PIODXIPJ,0.7666666666666666,66.0,female,Bachelor,Native
159,ATN9QDA48PQOO,0.7166666666666666,51.0,male,Bachelor,Native
160,ATR6RB1RULOC0,0.7,45.0,female,HighSchool,Native
161,ATZTNQDBCYYQA,0.7166666666666666,43.0,female,Master,Native
162,AUENN98IRRZ0H,0.6333333333333332,36.0,male,Bachelor,Native
163,AUEZTGJ0DXT4S,0.7666666666666666,30.0,female,Bachelor,Native
164,AW3QNBWHGXVQK,0.7166666666666666,64.0,female,Master,Native
165,AWVLT2L5AP873,0.7,27.0,female,Bachelor,Native
166,AXFTXWW2B0Y5B,0.8166666666666667,31.0,female,Bachelor,Native
167,AXID3RPK6NZT6,0.8,58.0,male,Bachelor,Native
168,AXY0D2AMLKE2A,0.7083333333333333,36.0,male,Bachelor,Native
169,AYTH0E5PUXWX8,0.7166666666666666,29.0,male,Master,Native
170,AZACNY1H74YWS,0.7833333333333333,69.0,female,Bachelor,Native
