"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-vasr_annotator","UPDATE-vasr_annotator","CURRENT-passed_gvlab_solve_qualification","UPDATE-passed_gvlab_solve_qualification","CURRENT-passed_gvlab_create_qualification","UPDATE-passed_gvlab_create_qualification","CURRENT-inadequate","UPDATE-inadequate","CURRENT-gvlab_annotator","UPDATE-gvlab_annotator","CURRENT-analogies_qualification","UPDATE-analogies_qualification","CURRENT-Question aswering qualification","UPDATE-Question aswering qualification","CURRENT-QA - real world data","UPDATE-QA - real world data","CURRENT-Low Analogy Performance","UPDATE-Low Analogy Performance","CURRENT-Experiment RA01 Qualification Test Score","UPDATE-Experiment RA01 Qualification Test Score","CURRENT-Experiment CE01 Qualification Test Score","UPDATE-Experiment CE01 Qualification Test Score","CURRENT-Annotated VASR 1st batch","UPDATE-Annotated VASR 1st batch","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A10Z7NLSO1VS9P","https://requester.mturk.com/workers/A10Z7NLSO1VS9P","45","45","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11442N7K4VIP8","https://requester.mturk.com/workers/A11442N7K4VIP8","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11B84S796PPW5","https://requester.mturk.com/workers/A11B84S796PPW5","13","13","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11DYS7W1RUM0X","https://requester.mturk.com/workers/A11DYS7W1RUM0X","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11EBMORZXLJJJ","https://requester.mturk.com/workers/A11EBMORZXLJJJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11N2XYG9AGJ30","https://requester.mturk.com/workers/A11N2XYG9AGJ30","48","48","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11SDQ8ZAJ8D24","https://requester.mturk.com/workers/A11SDQ8ZAJ8D24","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","10","","","","Never Blocked","",""
"A11TREGDHSUSJW","https://requester.mturk.com/workers/A11TREGDHSUSJW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","4","","9","","","","Never Blocked","",""
"A11WZA3JD39W3E","https://requester.mturk.com/workers/A11WZA3JD39W3E","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A120PN22KW0VPY","https://requester.mturk.com/workers/A120PN22KW0VPY","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A121AATQLM27K8","https://requester.mturk.com/workers/A121AATQLM27K8","18","18","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A124AJE7PLT2GX","https://requester.mturk.com/workers/A124AJE7PLT2GX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A125953MOXREDI","https://requester.mturk.com/workers/A125953MOXREDI","16","1","6.25%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12AJ7GJEHQKUQ","https://requester.mturk.com/workers/A12AJ7GJEHQKUQ","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12CHBTCTRHH6G","https://requester.mturk.com/workers/A12CHBTCTRHH6G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12DOOZ9TBSEZX","https://requester.mturk.com/workers/A12DOOZ9TBSEZX","31","31","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12EETVU3IGPZZ","https://requester.mturk.com/workers/A12EETVU3IGPZZ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12HQ561AI1UVY","https://requester.mturk.com/workers/A12HQ561AI1UVY","113","113","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","90","","","","","","","","","","","","","","Never Blocked","",""
"A12KCY62TDB7RE","https://requester.mturk.com/workers/A12KCY62TDB7RE","14","14","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12OYFOFF8CH4P","https://requester.mturk.com/workers/A12OYFOFF8CH4P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12QGOTIWKT71K","https://requester.mturk.com/workers/A12QGOTIWKT71K","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12SCO17W19GOW","https://requester.mturk.com/workers/A12SCO17W19GOW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12TSLY8GXWHB4","https://requester.mturk.com/workers/A12TSLY8GXWHB4","170","170","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12UREJ5PX9MT2","https://requester.mturk.com/workers/A12UREJ5PX9MT2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12X8RUSITV7RU","https://requester.mturk.com/workers/A12X8RUSITV7RU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A131YP1WT50D0O","https://requester.mturk.com/workers/A131YP1WT50D0O","20","20","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","","","","","","","Never Blocked","",""
"A132MSWBBVTOES","https://requester.mturk.com/workers/A132MSWBBVTOES","37","37","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A133KNH7RN5Q81","https://requester.mturk.com/workers/A133KNH7RN5Q81","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13DKPCP0O48WN","https://requester.mturk.com/workers/A13DKPCP0O48WN","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13JQTLPWXZD6L","https://requester.mturk.com/workers/A13JQTLPWXZD6L","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13PVNQT2WWWVL","https://requester.mturk.com/workers/A13PVNQT2WWWVL","69","69","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A13TA3WX9VH0MM","https://requester.mturk.com/workers/A13TA3WX9VH0MM","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13VP87EMEEGML","https://requester.mturk.com/workers/A13VP87EMEEGML","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A141JVDIG9BVPA","https://requester.mturk.com/workers/A141JVDIG9BVPA","10","10","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14BSOU2Y5JNT0","https://requester.mturk.com/workers/A14BSOU2Y5JNT0","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","70","","","","1","","","","","","","","","","Never Blocked","",""
"A14C0USD7WYMB5","https://requester.mturk.com/workers/A14C0USD7WYMB5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14GKRTUEHBLBZ","https://requester.mturk.com/workers/A14GKRTUEHBLBZ","0","0","0.00%","0","0","0.00%","0","0","0.00%","1","","81","","","","","","100","","60","","","","","","","","6","","10","","","","Never Blocked","",""
"A14JC769A8FXN1","https://requester.mturk.com/workers/A14JC769A8FXN1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14M2EERU7E8KD","https://requester.mturk.com/workers/A14M2EERU7E8KD","34","34","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14PJ5LRLVFDGG","https://requester.mturk.com/workers/A14PJ5LRLVFDGG","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14WWG6NKBDWGP","https://requester.mturk.com/workers/A14WWG6NKBDWGP","50","50","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A150CIC6SJN8JC","https://requester.mturk.com/workers/A150CIC6SJN8JC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A154QXMZCVC6QH","https://requester.mturk.com/workers/A154QXMZCVC6QH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A156CSN48MPP69","https://requester.mturk.com/workers/A156CSN48MPP69","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A156MMYLG9XMR2","https://requester.mturk.com/workers/A156MMYLG9XMR2","7","7","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A15PQEKFJZTB0","https://requester.mturk.com/workers/A15PQEKFJZTB0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A15QQTHZ6Y2K8O","https://requester.mturk.com/workers/A15QQTHZ6Y2K8O","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A15XZ36IPGYY2N","https://requester.mturk.com/workers/A15XZ36IPGYY2N","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A167Q7SZ3O3JYI","https://requester.mturk.com/workers/A167Q7SZ3O3JYI","356","356","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A168G0196GWCZ5","https://requester.mturk.com/workers/A168G0196GWCZ5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A16F45NMPQJEAC","https://requester.mturk.com/workers/A16F45NMPQJEAC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A16FVMBSNMXG9F","https://requester.mturk.com/workers/A16FVMBSNMXG9F","991","991","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A16MSUA16BXLX2","https://requester.mturk.com/workers/A16MSUA16BXLX2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A16ORVEUOCXX76","https://requester.mturk.com/workers/A16ORVEUOCXX76","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A16S2TL75YHZ79","https://requester.mturk.com/workers/A16S2TL75YHZ79","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A17620ICHID4N9","https://requester.mturk.com/workers/A17620ICHID4N9","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1763E6I4K7PUS","https://requester.mturk.com/workers/A1763E6I4K7PUS","20","20","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1785LS2CL0NRA","https://requester.mturk.com/workers/A1785LS2CL0NRA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A17AF9I56P3RVV","https://requester.mturk.com/workers/A17AF9I56P3RVV","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A17Q4QN6UE0EZC","https://requester.mturk.com/workers/A17Q4QN6UE0EZC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","","","","","","","","","Never Blocked","",""
"A17TKHT8FEVH0R","https://requester.mturk.com/workers/A17TKHT8FEVH0R","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","80","","","","","","","","","","","","","","Never Blocked","",""
"A17U815P67851C","https://requester.mturk.com/workers/A17U815P67851C","26","26","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","","","","","1","","Never Blocked","",""
"A17U82YPDOT3CW","https://requester.mturk.com/workers/A17U82YPDOT3CW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1815TOQ1PZ7JH","https://requester.mturk.com/workers/A1815TOQ1PZ7JH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A182N7RLXGSCZG","https://requester.mturk.com/workers/A182N7RLXGSCZG","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A183WYXN12P2TJ","https://requester.mturk.com/workers/A183WYXN12P2TJ","19","19","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A18AYN8U9MCBVS","https://requester.mturk.com/workers/A18AYN8U9MCBVS","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A18CHY28DR4US0","https://requester.mturk.com/workers/A18CHY28DR4US0","37","37","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","90","","","","","","","","","","","","1","","Never Blocked","",""
"A18E9I648U5PEE","https://requester.mturk.com/workers/A18E9I648U5PEE","100","100","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","","","","","1","","Never Blocked","",""
"A18H3EK547GHD4","https://requester.mturk.com/workers/A18H3EK547GHD4","55","55","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","3","","","","1","","Never Blocked","",""
"A18K1HNY9IGEQI","https://requester.mturk.com/workers/A18K1HNY9IGEQI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A18OF833850IS9","https://requester.mturk.com/workers/A18OF833850IS9","23","23","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A18S7VHZ6X4F93","https://requester.mturk.com/workers/A18S7VHZ6X4F93","2","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A18WSAKX5YN2FB","https://requester.mturk.com/workers/A18WSAKX5YN2FB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A1931GREDMHC3I","https://requester.mturk.com/workers/A1931GREDMHC3I","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19569VHQ4OIJD","https://requester.mturk.com/workers/A19569VHQ4OIJD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1969Q0R4Y0E3J","https://requester.mturk.com/workers/A1969Q0R4Y0E3J","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19826YJ07NOJT","https://requester.mturk.com/workers/A19826YJ07NOJT","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19GH3HPYV3XSV","https://requester.mturk.com/workers/A19GH3HPYV3XSV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19NI93J3S445L","https://requester.mturk.com/workers/A19NI93J3S445L","12","11","91.67%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19OH5PQ7ZZ6UV","https://requester.mturk.com/workers/A19OH5PQ7ZZ6UV","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19PQ3LJ9EXQWK","https://requester.mturk.com/workers/A19PQ3LJ9EXQWK","20","20","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19RMAKFLYUIK6","https://requester.mturk.com/workers/A19RMAKFLYUIK6","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19TD2J8506A4Y","https://requester.mturk.com/workers/A19TD2J8506A4Y","23","23","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","","","","","1","","Never Blocked","",""
"A19UED74G8FXN3","https://requester.mturk.com/workers/A19UED74G8FXN3","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","75","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19VI2RYOCVZUP","https://requester.mturk.com/workers/A19VI2RYOCVZUP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A19Z68L0RHQVWL","https://requester.mturk.com/workers/A19Z68L0RHQVWL","769","769","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","","","8","","1","","Never Blocked","",""
"A1A8WM8RLC94AD","https://requester.mturk.com/workers/A1A8WM8RLC94AD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1AAZ48Z2DW4J3","https://requester.mturk.com/workers/A1AAZ48Z2DW4J3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ACR3OA4863V8","https://requester.mturk.com/workers/A1ACR3OA4863V8","16","16","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1AF25FCVKC87X","https://requester.mturk.com/workers/A1AF25FCVKC87X","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1AH7GKZ0LOOQ6","https://requester.mturk.com/workers/A1AH7GKZ0LOOQ6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ANF3U25Z0TUI","https://requester.mturk.com/workers/A1ANF3U25Z0TUI","9","9","100.00%","3","3","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","Never Blocked","",""
"A1AUA7XGKD5HGW","https://requester.mturk.com/workers/A1AUA7XGKD5HGW","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1AY6E7I138PWY","https://requester.mturk.com/workers/A1AY6E7I138PWY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1AZGP16G9TURZ","https://requester.mturk.com/workers/A1AZGP16G9TURZ","173","173","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","90","","","","","","","","","","","","","","Never Blocked","",""
"A1B06ZUDYZNFBB","https://requester.mturk.com/workers/A1B06ZUDYZNFBB","6","6","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1B179AI3LZKWS","https://requester.mturk.com/workers/A1B179AI3LZKWS","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1B5SSGMTAQ9B5","https://requester.mturk.com/workers/A1B5SSGMTAQ9B5","1","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1B71UG788ETJO","https://requester.mturk.com/workers/A1B71UG788ETJO","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1BDJJ3Z71CDKL","https://requester.mturk.com/workers/A1BDJJ3Z71CDKL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1BJFYHXK6YDX1","https://requester.mturk.com/workers/A1BJFYHXK6YDX1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1BN2RLNDFA21Z","https://requester.mturk.com/workers/A1BN2RLNDFA21Z","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1BNHNMMU41M6X","https://requester.mturk.com/workers/A1BNHNMMU41M6X","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1BTPQMD25VIT4","https://requester.mturk.com/workers/A1BTPQMD25VIT4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1C1KG9F80G5O","https://requester.mturk.com/workers/A1C1KG9F80G5O","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1C1XQJXM1R7PR","https://requester.mturk.com/workers/A1C1XQJXM1R7PR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1C6NTK19FBQO0","https://requester.mturk.com/workers/A1C6NTK19FBQO0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1C8FN01981A69","https://requester.mturk.com/workers/A1C8FN01981A69","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1CB72B51L7TKE","https://requester.mturk.com/workers/A1CB72B51L7TKE","23","23","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1CE5G48ELWN0F","https://requester.mturk.com/workers/A1CE5G48ELWN0F","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1CEK7D2Y4FO99","https://requester.mturk.com/workers/A1CEK7D2Y4FO99","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1CK048L8W1GP","https://requester.mturk.com/workers/A1CK048L8W1GP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
